구별,총경찰관서수,절도_발생,절도_검거,폭력_발생,폭력_검거,CCTV 수량,인구수,범죄발생,범죄검거,cctv비율,인구비율,검거율,cctv인구비율,범죄율
강남구,145,2480,1284,3571,3112,7009,562526,6763,4992,8.342756478164095,5.862388331874838,73.81339642170634,1.2459868521632778,1202.2555401883646
강동구,105,1676,980,1569,1383,3191,502806,3398,2495,3.7982217037839385,5.240013843976385,73.42554443790465,0.6346384092473042,675.8073690449199
강북구,96,917,730,1431,1302,2858,287523,2497,2142,3.4018544749026933,2.9964330188216177,85.78293952743292,0.9940074359268648,868.4522629493988
강서구,87,1794,1243,2195,2070,3481,558229,4296,3544,4.143406377584421,5.817606965925413,82.49534450651768,0.623579212115458,769.5766432772214
관악구,122,2013,1166,2402,2035,5366,498000,4769,3496,6.387106757287563,5.189927913151871,73.30677290836654,1.0775100401606426,957.6305220883534
광진구,84,1616,830,1563,1320,4091,350164,3424,2333,4.869484484544059,3.649248830885365,68.13668224299066,1.1683097063090435,977.8275322420352
구로구,112,1624,849,1900,1620,4050,410488,3737,2632,4.820682513420542,4.277917930148364,70.43082686647043,0.9866305470561868,910.3798405799928
금천구,79,987,629,1116,1022,2725,238305,2240,1753,3.24354564174592,2.4835055649471016,78.25892857142858,1.1434925830343468,939.971884769518
노원구,108,1632,845,1766,1621,2655,492612,3567,2607,3.1602252032423555,5.133776644886686,73.08662741799832,0.5389637280456018,724.099291125673
도봉구,63,995,582,825,743,1598,304555,1921,1406,1.902086581838525,3.173932722068209,73.19104633003644,0.524699972090427,630.7563494278538
동대문구,132,1280,847,1522,1329,2857,361871,2957,2301,3.400664182924072,3.7712538230124113,77.81535339871492,0.7895078632993525,817.142020222676
동작구,111,1183,601,1262,1049,2650,386593,2642,1763,3.154273743349244,4.028895184195023,66.72975018925057,0.6854754224727297,683.4060627067743
마포구,103,1472,856,1908,1688,2450,370897,3834,2888,2.9162153476247723,3.865318661052791,75.32603025560772,0.660560748671464,1033.7101675128135
서대문구,71,1194,668,1026,834,3224,316827,2385,1641,3.837501339078476,3.301825885422024,68.80503144654088,1.0175900412527974,752.7767519813652
서초구,129,1941,934,2153,1802,5060,412204,4522,3049,6.022877411829121,4.29580129621055,67.42591773551526,1.2275475250118872,1097.0296261074614
성동구,100,893,472,1007,851,4036,280683,2023,1411,4.804018425719829,2.925149671580736,69.74789915966386,1.437921071101563,720.741904568499
성북구,158,984,683,1284,1161,3943,437692,2411,1958,4.69332127170795,4.5614255585607815,81.21111571961842,0.9008617932244593,550.8439724737943
송파구,137,2416,1243,2483,2035,3094,652908,5223,3520,3.68276338185757,6.8043081404019325,67.39421788244304,0.4738799340795334,799.9595655130585
양천구,100,1404,732,1494,1303,3845,431500,3019,2135,4.576672657802959,4.496895370532194,70.71878105332891,0.8910776361529548,699.6523754345307
영등포구,102,1854,1192,2232,1956,2899,396841,4418,3387,3.45065644602621,4.135695146552413,76.66364870982345,0.7305192759820685,1113.2922253496993
용산구,83,978,561,1792,1481,1078,216214,3021,2268,1.2831347529548998,2.253283280751443,75.07447864945382,0.498580110446132,1397.2268215749211
은평구,133,1614,1070,1716,1474,4116,463165,3493,2678,4.899241784009618,4.826893497781097,76.6676209561981,0.888668185203977,754.1588850625586
종로구,161,1169,953,1563,1381,1930,149332,2981,3485,2.2972635187411474,1.5562697090899504,116.9070781616907,1.2924222537701229,1996.223180564112
중구,119,1520,864,1607,1449,2336,129616,3348,2465,2.780522062061824,1.3507985871307089,73.62604540023895,1.8022466362177507,2583.0144426614
중랑구,111,1402,786,1745,1546,3471,383958,3324,2474,4.131503457798198,4.001434421040092,74.42839951865223,0.9040051255606082,865.719688090885
