경찰서,2018년 지구대,2018년 파출소,2018년 치안센터,2019년 지구대,2019년 파출소,2019년 치안센터,2020년 지구대,2020년 파출소,2020년 치안센터,2021년 지구대,2021년 파출소,2021년 치안센터,2022년 지구대,2022년 파출소,2022년 치안센터,2023년 지구대,2023년 파출소,2023년 치안센터,2024년 지구대,2024년 파출소,2024년 치안센터
중부,3,4,4,3,4,4,3,4,3,3,4,3,3,4,3,3,4,3,3,4,1
종로,1,12,1,1,12,1,1,12,1,1,12,1,1,12,1,1,12,1,1,12,1
남대문,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0
서대문,2,6,3,2,6,3,2,6,2,2,6,2,2,6,2,2,6,2,2,6,1
혜화,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
용산,2,6,4,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,4
성북,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,3
동대문,3,8,9,3,8,9,3,8,9,3,8,9,3,8,9,3,8,8,3,8,2
마포,5,3,9,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,3
영등포,7,3,5,7,3,5,7,3,5,7,3,5,7,3,5,7,3,5,7,3,2
성동,3,6,6,3,6,6,3,6,6,3,6,6,3,6,6,3,6,6,3,6,1
동작,6,1,10,6,1,10,6,1,10,6,1,10,6,1,10,6,1,10,6,1,2
광진,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2
서부,2,2,4,2,2,4,2,2,4,2,3,5,2,3,5,2,3,5,2,3,1
강북,2,7,5,2,7,5,2,7,5,2,7,5,2,7,5,2,7,5,2,7,3
금천,2,3,7,2,3,7,2,3,7,2,3,7,2,3,7,2,3,7,2,3,2
중랑,4,4,9,4,4,9,4,4,9,4,4,9,4,4,9,4,4,9,4,4,1
강남,1,7,3,1,7,3,1,7,3,1,7,3,1,7,3,1,7,3,1,7,2
관악,5,4,10,6,3,10,6,3,10,6,3,9,6,3,9,6,3,9,6,3,2
강서,7,3,2,7,3,2,7,3,2,7,3,2,8,3,2,8,3,2,8,3,2
강동,4,4,8,4,5,7,4,5,7,4,5,7,4,5,7,4,5,7,4,5,0
종암,2,2,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,1
구로,5,3,8,5,3,8,5,3,8,5,3,9,5,3,9,5,3,9,5,3,5
서초,1,6,5,1,6,5,1,6,5,1,6,5,1,6,5,1,6,5,1,6,3
양천,5,3,7,5,3,8,5,3,7,5,3,7,5,3,7,5,3,7,5,3,1
송파,5,5,10,5,5,10,5,6,10,5,6,10,5,6,10,5,6,10,5,6,2
노원,6,2,10,6,2,9,6,2,8,6,2,8,6,2,8,6,2,8,6,2,1
방배,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,1
은평,2,3,7,2,3,7,2,3,7,2,2,6,2,2,6,2,2,6,2,2,3
도봉,1,7,1,1,7,1,1,7,1,1,7,1,1,7,1,1,7,1,1,7,1
수서,4,2,6,4,2,4,4,2,4,4,2,4,4,2,4,4,2,4,4,2,1
