구별,CCTV 수량,인구수,범죄발생,범죄검거,cctv비율,인구비율,검거율,cctv인구비율
중랑구,3471,383958,3324,2474,4.131503457798198,4.001434421040092,74.42839951865223,0.9040051255606082
중구,2336,129616,3348,2465,2.780522062061824,1.3507985871307087,73.62604540023895,1.8022466362177507
종로구,1930,149332,2981,3485,2.2972635187411474,1.5562697090899504,116.9070781616907,1.2924222537701229
은평구,4116,463165,3493,2678,4.899241784009618,4.826893497781097,76.6676209561981,0.888668185203977
용산구,1078,216214,3021,2268,1.2831347529548998,2.253283280751443,75.07447864945382,0.49858011044613204
영등포구,2899,396841,4418,3387,3.45065644602621,4.135695146552413,76.66364870982345,0.7305192759820685
양천구,3845,431500,3019,2135,4.576672657802959,4.496895370532194,70.71878105332891,0.8910776361529548
송파구,3094,652908,5223,3520,3.68276338185757,6.8043081404019325,67.39421788244304,0.4738799340795334
성북구,3943,437692,2411,1958,4.69332127170795,4.5614255585607815,81.21111571961842,0.9008617932244593
성동구,4036,280683,2023,1411,4.804018425719829,2.925149671580736,69.74789915966386,1.437921071101563
서초구,5060,412204,4522,3049,6.022877411829121,4.29580129621055,67.42591773551526,1.2275475250118872
서대문구,3224,316827,2385,1641,3.837501339078476,3.3018258854220237,68.80503144654088,1.0175900412527974
마포구,2450,370897,3834,2888,2.9162153476247723,3.8653186610527905,75.32603025560772,0.660560748671464
동작구,2650,386593,2642,1763,3.154273743349244,4.028895184195023,66.72975018925057,0.6854754224727297
동대문구,2857,361871,2957,2301,3.4006641829240714,3.7712538230124113,77.81535339871492,0.7895078632993525
도봉구,1598,304555,1921,1406,1.902086581838525,3.1739327220682094,73.19104633003644,0.524699972090427
노원구,2655,492612,3567,2607,3.1602252032423555,5.133776644886686,73.08662741799832,0.5389637280456018
금천구,2725,238305,2240,1753,3.24354564174592,2.4835055649471016,78.25892857142858,1.1434925830343468
구로구,4050,410488,3737,2632,4.820682513420542,4.277917930148364,70.43082686647043,0.9866305470561868
광진구,4091,350164,3424,2333,4.869484484544059,3.6492488308853654,68.13668224299066,1.1683097063090437
관악구,5366,498000,4769,3496,6.387106757287563,5.189927913151871,73.30677290836654,1.0775100401606426
강서구,3481,558229,4296,3544,4.143406377584421,5.817606965925413,82.49534450651768,0.623579212115458
강북구,2858,287523,2497,2142,3.4018544749026933,2.9964330188216177,85.78293952743292,0.9940074359268649
강동구,3191,502806,3398,2495,3.7982217037839385,5.240013843976385,73.42554443790465,0.6346384092473042
강남구,7009,562526,6763,4992,8.342756478164095,5.862388331874838,73.81339642170634,1.2459868521632778
